title,link
"AFTER GETTING RICH, MY DECEASED HUSBAND RETURNED",https://t.me/moon_read/482
AFTER SHE LEFT,https://t.me/moon_read/731
AFTER YOUR REGRET,https://t.me/moon_read/598
AIMING FOR THE ALIMONY,https://t.me/moon_read/1003
ALBRECHT'S PEARL,https://t.me/moon_read/250
ALLIUM,https://t.me/moon_read/959
ALTHOUGH RECKLESS 🔞🔞🔞,https://t.me/moon_read/778
ALTRUISTIC WARRIOR 🔞🔞🔞,https://t.me/moon_read/761
AMONGST THE TAINTED,https://t.me/moon_read/1180
AN AUTUMN IN AMBER,https://t.me/moon_read/425
AN EARLY ENGAGEMENT,https://t.me/moon_read/961
AN UNBREAKABLE MARRIAGE,https://t.me/moon_read/837
ANDERSEN'S FAIRY TALES,https://t.me/moon_read/473
ANNE OF THE GREEN GABLES,https://t.me/moon_read/311
ANSWER ME MY PRINCE,https://t.me/moon_read/937
ANTIMONY 🔞,https://t.me/moon_read/1229
ANTISOCIAL SAFETY ZONE,https://t.me/moon_read/1025
APOLLO'S HEART,https://t.me/moon_read/135
ARE YOU CRAZY,https://t.me/moon_read/1236
ARRANGED MARRIAGE,https://t.me/moon_read/835
ARROGANT REGRET,https://t.me/moon_read/986
AS IF LOVE DOESN'T EXIST,https://t.me/moon_read/405
AS THE HEART LEADS,https://t.me/moon_read/755
AT NIGHT I BECOME A MONSTER,https://t.me/moon_read/456
"ATONEMENT, FOR YOUR CRUELTY",https://t.me/moon_read/1271
AUTHOR OF MY DESTINY,https://t.me/moon_read/35
BAILONZ STREET 13,https://t.me/moon_read/436
BARBARIAN QUEST,https://t.me/moon_read/716
BASTIAN,https://t.me/moon_read/96
BATTLE ROYALE,https://t.me/moon_read/647
BE FASCINATED 🔞🔞🔞,https://t.me/moon_read/411
BE INDULGED 🔞🔞🔞,https://t.me/moon_read/412
BEAST BLUE BLOOD,https://t.me/moon_read/1147
BEAST OF THE FROZEN NIGHT,https://t.me/moon_read/921
BEAST WITHOUT GRACE,https://t.me/moon_read/843
BEAUTY OF THEBES 🔞🔞🔞,https://t.me/moon_read/568
BECAME THE TYRANT'S COMPANION RABBIT,https://t.me/moon_read/1281
BECOMING A STAR,https://t.me/moon_read/61
BECOMING YOU,https://t.me/moon_read/50
BEFORE DEATH DO US APART,https://t.me/moon_read/1182
BEFORE THE HEROINE STEPS IN,https://t.me/moon_read/610
BEFORE YOU GO INSANE 🔞🔞🔞,https://t.me/moon_read/983
BEHIND HER HIGHNESS SMILE,https://t.me/moon_read/142
BELOVED ANGELA 🔞🔞🔞,https://t.me/moon_read/1020
BENEATH MY SAVIOR'S FEET,https://t.me/moon_read/544
BETRAYAL OF DIGNITY,https://t.me/moon_read/341
BETWEEN SEASONS 🔞🔞🔞,https://t.me/moon_read/521
Bibliophile Princess,https://t.me/moon_read/381
BILLIONAIRE WITH BENEFITS,https://t.me/moon_read/682
BLOOD ORANGE,https://t.me/moon_read/906
BODY POSITION 🔞,https://t.me/moon_read/683
"BON APPÉTIT, YOUR MAJESTY",https://t.me/moon_read/1098
BORDERLINE,https://t.me/moon_read/1292
BORING MARRIAGE LIFE 🔞🔞🔞,https://t.me/moon_read/987
BREAKING THE CURSE BY YOUR TOUCH,https://t.me/moon_read/595
BREEDING INSTINCT,https://t.me/moon_read/847
BREEDING MARRIAGE,https://t.me/moon_read/1119
BRIDAL AUCTION 🔞🔞🔞,https://t.me/moon_read/552
BRIDAL LESSON 🔞🔞🔞,https://t.me/moon_read/297
BRIDGETON PREQUEL COLLECTION,https://t.me/moon_read/513
CAJETAN'S BRIDE ‼️🔞🔞‼️ 🏴‍☠️,https://t.me/moon_read/957
CAMELIA TATTOO 🔞🔞🔞,https://t.me/moon_read/401
CAMPFIRE COOKING IN ANOTHER WORLD,https://t.me/moon_read/528
CAN THE IMPRINTED VILLAINESS SURVIVE?,https://t.me/moon_read/1081
CAN'T COME BACK 🔞🔞🔞,https://t.me/moon_read/443
CAN'T GET ENOUGH OF YOU 🔞🔞🔞,https://t.me/moon_read/316
CHARLOTTE,https://t.me/moon_read/985
CHARMING THE DUKE OF THE NORTH,https://t.me/moon_read/754
CHEAP TASTE,https://t.me/moon_read/548
CHESTFIELD MANSION: THE HOUSE OF THE MAN WHO HATES ME,https://t.me/moon_read/1106
CHOSEN AS THE NEW OF VILLAIN FAMILY,https://t.me/moon_read/577
CINDERELLA DREAMS OF BECOMING HER BROTHER'S DOG EVERY NIGHT,https://t.me/moon_read/1153
"CINDERELLA IS THE MALE LEAD?
🔞🔞🔞",https://t.me/moon_read/742
CITADEL OF DESIRE 🔞🔞🔞,https://t.me/moon_read/981
CLASSROOM OF THE ELITE VOLUME 0,https://t.me/moon_read/1008
CLASSROOM OF THE ELITE: YEAR 1,https://t.me/moon_read/1005
CLASSROOM OF THE ELITE: YEAR 2,https://t.me/moon_read/1006
CLASSROOM OF THE ELITE: YEAR 3,https://t.me/moon_read/1007
CLOSE UP ENCOUNTER WITH MY BROTHER'S FRIEND,https://t.me/moon_read/663
CONFESSIONS,https://t.me/moon_read/438
CONQUER MY HEART,https://t.me/moon_read/653
CONQUERING MY OWN HORROR NOVEL,https://t.me/moon_read/62
CONTRACT MARRIAGE INTERUPTED,https://t.me/moon_read/1243
CONTRACT MARRIAGE WITH THE VILLAIN WHO'LL KILL ME,https://t.me/moon_read/1255
CONTRACT OF THE BLIND,https://t.me/moon_read/995
CRASHGATE,https://t.me/moon_read/1295
CRAZY IN LOVE 🔞🔞🔞,https://t.me/moon_read/346
CRAZY MARRIAGE  ‼️🔞🔞🔞‼️,https://t.me/moon_read/758
CREATURE COOKBOOK 2,https://t.me/moon_read/1237
CRIME FOR LOVING ME,https://t.me/moon_read/839
CRUEL FATE,https://t.me/moon_read/1177
CRUSH BLIND DATE,https://t.me/moon_read/1179
CRY OR BETTER YET BEG,https://t.me/moon_read/92
CUNNING FISH OF THE FOREST,https://t.me/moon_read/1203
CURSE OF THE SAINTESS 🔞🔞,https://t.me/moon_read/1037
DAD KIDNAPPED THE OBSESSIVE MANIAC,https://t.me/moon_read/487
DADDY I DON'T WANT TO MARRY,https://t.me/moon_read/214
DAISY - HOW TO BECOME THE DUKE'S FIANCÉE,https://t.me/moon_read/388
DAISY OF SOMERSET,https://t.me/moon_read/621
DANGEROUS FIANCEE,https://t.me/moon_read/783
DARE TO LOVE,https://t.me/moon_read/688
DARK DAD'S REBIRTH,https://t.me/moon_read/849
DARK WATER,https://t.me/moon_read/643
DAZZLING DIVORCE,https://t.me/moon_read/575
DEAD-END VILLAINESS WHO MAKES MEDICINE,https://t.me/moon_read/800
DEADLY VOWS ‼️🔞🔞🔞‼️,https://t.me/moon_read/710
"DEAR TEACHER, FROM VANESSA",https://t.me/moon_read/569
DEATH CAN'T SLEEP,https://t.me/moon_read/582
DEBAUCHED MARQUIS'S MIDNIGHT HOURS,https://t.me/moon_read/1124
DEEP BOREDOM,https://t.me/moon_read/409
DELICIOUS SACRIFICE 🔞🔞🔞,https://t.me/moon_read/806
DELICIOUS SWEET MILK BAGUETTE 🔞🔞🔞,https://t.me/moon_read/393
DELIVER US FROM THE EVIL ONE,https://t.me/moon_read/836
DESTRUCTIVE SALVATION,https://t.me/moon_read/1209
DEVIL SWAN,https://t.me/moon_read/851
DID I WAKE UP THE SLEEPING PRINCE?,https://t.me/moon_read/938
DIE MELUSINE,https://t.me/moon_read/1170
DIE MELUSINE 🔞🔞🔞,https://t.me/moon_read/293
DIFFERENCE 🔞🔞🔞,https://t.me/moon_read/873
DIRTY MARRIAGE,https://t.me/moon_read/1197
DISOBEY THE DUKE IF YOU DARE,https://t.me/moon_read/378
DIVORCE IS THE CONDITION,https://t.me/moon_read/972
"DIVORCE ME, I'LL RAISE THE CHILD ALONE",https://t.me/moon_read/558
DIVORCE PROPOSAL,https://t.me/moon_read/1282
DIVORCE UNLEASHED THE MANIAC MADNESS,https://t.me/moon_read/609
DIVORCE WILL BE COMPLETED IN 3 SECONDS,https://t.me/moon_read/844
DO YOUR BEST AND REGRET IT,https://t.me/moon_read/949
DO YOUR OWN REVOLUTION,https://t.me/moon_read/632
DOBERMAN 🔞🔞🔞,https://t.me/moon_read/355
DON'T ATTRACT THE CUNNING BOY'S ATTENTION,https://t.me/moon_read/1269
DON'T BE KIND TO ME,https://t.me/moon_read/1261
DON'T FEED RECKLESSLY 🔞🔞🔞,https://t.me/moon_read/272
DON'T HOLD ON BROKEN BRANCH,https://t.me/moon_read/668
DOPPIO SENSO,https://t.me/moon_read/496
DOUBLE AGENT,https://t.me/moon_read/1128
DRAGON POOR,https://t.me/moon_read/719
DRAGON POOR,https://t.me/moon_read/717
DRUNKEN ALERT,https://t.me/moon_read/1284
DUCHESS MECKLEN'S GRACEFUL REBELLION,https://t.me/moon_read/1001
DUCHESS'S PREGNANCY CONTRACT,https://t.me/moon_read/922
DUKE AND DUCHESS REUNION,https://t.me/moon_read/914
DUKE PENDRAGON: MASTER OF WHITE DRAGON,https://t.me/moon_read/1239
DUKE PLEASE STOP BECAUSE IT HURTS,https://t.me/moon_read/686
EAT WINNIE PIE🔞,https://t.me/moon_read/592
Elegant Aubrey 🔞🔞🔞,https://t.me/moon_read/689
EMERALD MIDNIGHT'S LOVER,https://t.me/moon_read/296
EMPEROR SOLO PLAY,https://t.me/moon_read/676
EMPEROR'S LOVER,https://t.me/moon_read/1253
EMPRESS FROM ANOTHER WORLD,https://t.me/moon_read/681
ENDLESS SUMMER,https://t.me/moon_read/1272
EPIC POESTRY OF A KINGDOM,https://t.me/moon_read/1265
ESCAPE ME IF YOU CAN,https://t.me/moon_read/897
ESCAPE THE ORIGINAL MALE LEAD,https://t.me/moon_read/637
ETRANGER,https://t.me/moon_read/718
EVELYN DALE'S BROKEN DREAM,https://t.me/moon_read/963
EVEN IF I'M TORN APART,https://t.me/moon_read/597
EVEN IF IT'S NOT LOVE 🔞🔞🔞,https://t.me/moon_read/765
EVEN IF THIS LOVE / TEARS DISAPPEARS FROM THE WORLD TONIGHT,https://t.me/moon_read/450
EVEN MORE,https://t.me/moon_read/1211
EVEN THOUGH THE DUCHESS WANTS TO,https://t.me/moon_read/1103
EXPLOSIVE ROMANCE,https://t.me/moon_read/698
F MY EX 🔞🔞🔞,https://t.me/moon_read/616
FAILED TO TRAIN THE BEAST MALE LEAD,https://t.me/moon_read/771
FAIR TRADE,https://t.me/moon_read/704
FALLING TO PARADISE,https://t.me/moon_read/470
FAREWELL 🔞🔞🔞,https://t.me/moon_read/967
FATE OF ASH,https://t.me/moon_read/1260
FATHER I WON'T DO ANYTHING,https://t.me/moon_read/743
FEAR STREET SAGA TRILOGY,https://t.me/moon_read/143
FEARLESSLY DARING,https://t.me/moon_read/1183
FEEL OF A B-GRADE HORROR GAME,https://t.me/moon_read/803
FILTHY IMPRINT,https://t.me/moon_read/936
FINDING CAMELLIA,https://t.me/moon_read/131
FLIPPED,https://t.me/moon_read/559
FLOWER IN BLOOM,https://t.me/moon_read/696
FLOWERS ARE BAIT 🔞🔞🔞,https://t.me/moon_read/133
FLOWERS BLOOMING IN THE SWAMP 🔞🔞🔞,https://t.me/moon_read/833
FLY ME TO THE MOON,https://t.me/moon_read/1054
FOR ARIADNE,https://t.me/moon_read/1215
FOR BETTER OR WORSE,https://t.me/moon_read/66
FOR DAPHNE 🔞🔞🔞,https://t.me/moon_read/1195
FOR MY DERELICT FAVOURITE,https://t.me/moon_read/163
FOR PERSEPHONE 🔞🔞🔞,https://t.me/moon_read/1194
FOR PHAEDRA,https://t.me/moon_read/1214
FOR PSYCHE,https://t.me/moon_read/1212
FOR THE GODDESSES,https://t.me/moon_read/1213
FOR YOUR FAILED UNREQUITED LOVE,https://t.me/moon_read/357
FORBIDDEN SECRETS,https://t.me/moon_read/176
FORGET MY HUSBAND I'M GO TO MAKE MONEY,https://t.me/moon_read/674
FORGOTTEN JULIET,https://t.me/moon_read/834
FRICTIONAL HEAT 🔞🔞🔞,https://t.me/moon_read/1193
FRIENDLY ARROGANCE 🔞🔞🔞,https://t.me/moon_read/1210
FROM BFF TO OBSSESIVE HUBBY,https://t.me/moon_read/467
"FROZEN WOLF, FIRE DRAGON",https://t.me/moon_read/373
FUNICULI FUNICULA,https://t.me/moon_read/298
Garden Of Black Jade,https://t.me/moon_read/1181
GATE OF JANUS,https://t.me/moon_read/1279
GOTH,https://t.me/moon_read/642
GRACE IN WONDERLAND,https://t.me/moon_read/700
GRACE'S STRANGE PROPOSAL,https://t.me/moon_read/1072
GRAND DUCAL COUPLE'S AFTER MARRIAGE LOVE STORY,https://t.me/moon_read/1163
GRIMM'S FAIRY TALES,https://t.me/moon_read/474
GRIND TEETH,https://t.me/moon_read/1096
HALF POSESSION 🔞🔞🔞,https://t.me/moon_read/1044
HANDSOME TRASH,https://t.me/moon_read/820
HARRY POTTER SERIES,https://t.me/moon_read/305
HAUNTING ADELINE + HUNTING ADELINE ‼️🔞🔞🔞‼️,https://t.me/moon_read/278
HAVING ENEMY'S BABY,https://t.me/moon_read/953
HE WHO ONLY LOVE THE BODY,https://t.me/moon_read/1166
HE'S MY CHILDHOOD FRIEND'S BOYFRIEND,https://t.me/moon_read/1138
"HE'S MY REAL BROTHER, DUKE",https://t.me/moon_read/635
HE'S NOT IN LOVE WITH ME,https://t.me/moon_read/1060
"HELLO, SUNBAE 🔞🔞🔞",https://t.me/moon_read/1053
HER MAJESTY'S NIGHT 🔞🔞🔞,https://t.me/moon_read/931
HER MERRY OBSESSION / MERRY PSYCHO 🔞🔞🔞,https://t.me/moon_read/262
HERE REIGNS THE VENGEFUL VILLAINESS,https://t.me/moon_read/631
HEROINE ON STRIKE,https://t.me/moon_read/227
HIGH SOCIETY,https://t.me/moon_read/279
HIS LORDSHIP’S RIGHT OF THE FIRST NIGHT,https://t.me/moon_read/1158
HIS MAJESTY'S PROPOSAL,https://t.me/moon_read/171
"HONEY, WHY CAN'T WE GET DIVORCE?",https://t.me/moon_read/376
HOUSE OF WHISPER,https://t.me/moon_read/156
HOW ABOUT COSMIC HORROR?,https://t.me/moon_read/1141
HOW TO DIVORCE MY VILLAIN HUSBAND,https://t.me/moon_read/1162
HOW TO ESCAPE AN ESPER HAREM,https://t.me/moon_read/1190
HOW TO ESCAPE FROM YANDERE'S CRAZY'S OBSESSION 🔞🔞🔞,https://t.me/moon_read/751
HOW TO EXTEND A MARRIAGE CONTRACT,https://t.me/moon_read/798
HOW TO FIX PSYCOPATH 🔞🔞,https://t.me/moon_read/525
HOW TO GIVE UP ON YOU,https://t.me/moon_read/1029
HOW TO HIDE THE EMPEROR CHILD,https://t.me/moon_read/392
HOW TO HOLD A WOLF'S LEASH,https://t.me/moon_read/1273
HOW TO LOVE AS AN S-CLASS ESPER BORROWED CLASS,https://t.me/moon_read/1222
HOW TO LOVE SOMEONE ARROGANT LIKE YOU,https://t.me/moon_read/1070
HOW TO PERFECTLY BREAK UP WITH YOU,https://t.me/moon_read/495
HOW TO REJECT MY OBSESSIVE EX-HUSBAND 🔞🔞🔞,https://t.me/moon_read/400
HOW TO RUN AWAY FROM OBSESSED MAN,https://t.me/moon_read/740
HOW TO SURVIVE AS A MAID IN A HORROR GAME,https://t.me/moon_read/1105
HOW TO SURVIVE AS A VILLAIN ON THE VERGE OF DEATH,https://t.me/moon_read/636
HOW TO SURVIVE AS THAT VILLAINESS,https://t.me/moon_read/920
HOW TO TAME MY BEASTLY HUSBAND,https://t.me/moon_read/858
HOW TO WIN MY HUSBAND OVER,https://t.me/moon_read/1028
HUMAN RIGHTS FOR FEMALE ORIENTED GAME VILLAINS,https://t.me/moon_read/639
HUNTING THE SNOW WHITE,https://t.me/moon_read/1267
"HUSBAND, JUST ONE LAST TIME!",https://t.me/moon_read/519
I AM A WITCH AND MY CRUSH WANTS ME TO MAKE A LOVE POTION,https://t.me/moon_read/385
I AM BLUE IN PAIN AND FRAGILE,https://t.me/moon_read/418
I BECAME THE DUKE'S MALE SERVANT,https://t.me/moon_read/1242
I BECAME THE EMPEROR FIANCE,https://t.me/moon_read/613
I BECAME THE MALE LEAD'S TARGET,https://t.me/moon_read/623
I BECAME THE MASTER OF THE DEVIL,https://t.me/moon_read/941
I BECAME THE OMEGA IN A GAME,https://t.me/moon_read/1191
I BECAME THE TUTOR OF THE ROYAL TWINS,https://t.me/moon_read/736
I BECAME THE TYRANT'S SERVANTS,https://t.me/moon_read/916
I BECAME THE VILLAIN'S MASTER,https://t.me/moon_read/942
I BECAME THE VILLAINOUS SUB-MALE LEAD'S PET BIRD,https://t.me/moon_read/1052
I BECAME THE YOUNGEST PRINCE IN THE NOVEL,https://t.me/moon_read/802
I BECOME MY SON'S FIRST LOVE 🔞🔞🔞,https://t.me/moon_read/516
I BROKE OFF MY ENGAGEMENT THEN GET MARRIED,https://t.me/moon_read/599
I CAUGHT THE VILLAIN'S ATTENTION,https://t.me/moon_read/870
I CHANGED MY HUSBAND AT THE WEDDING,https://t.me/moon_read/791
I DECIDED TO KIDNAP HIM,https://t.me/moon_read/785
I DEDICATE MY DESPAIR TO YOU,https://t.me/moon_read/1228
I DIDN'T ASK TO MARRY YOU MALE LEAD,https://t.me/moon_read/1257
I DIDN'T KNOW HE WAS THE MASTERMIND,https://t.me/moon_read/1225
I DIDN'T MEAN TO SEDUCE THE MALE LEAD,https://t.me/moon_read/522
I DON'T TRUST MY TWIN,https://t.me/moon_read/877
"I DON'T WANT TO ATTACK YOU
🔞🔞🔞",https://t.me/moon_read/612
I DON'T WANT TO BE A LADY,https://t.me/moon_read/792
I DON'T WANT TO BE LOVED,https://t.me/moon_read/159
I DON'T WANT TO DO ROMANTIC COMEDY WITH THE VILLAIN,https://t.me/moon_read/889
I DON'T WANT TO WORK,https://t.me/moon_read/918
I ENDED UP SAVING THE DUKE WHO'S MEANT TO DIE,https://t.me/moon_read/741
I FAILED TO OUST THE VILLAIN,https://t.me/moon_read/289
"I FELL IN LOVE AT FIRST SIGHT, MR VILLAIN",https://t.me/moon_read/807
I FELL INTO A REVERSE HAREM GAME 🔞 🔞 🔞,https://t.me/moon_read/263
I HAD NO COMPLAINT ABOUT THIS MARRIAGE,https://t.me/moon_read/1114
I HAD THAT SAME DREAM AGAIN,https://t.me/moon_read/455
I HELPED THE IMPRISON MALE LEAD AND HE BECAME OBSESSED,https://t.me/moon_read/878
I LIED TO THE MALE LEAD WITH MY PINKY FINGER ON THE LINE,https://t.me/moon_read/1152
I LISTENED TO MY HUSBAND AND BROUGHT IN A LOVER,https://t.me/moon_read/1038
I LOVE YOU MONSTER,https://t.me/moon_read/947
I MARRIED THE MALE LEAD DEAD,https://t.me/moon_read/154
I NEED SOMEONE TO STOP MY OLDER BROTHER,https://t.me/moon_read/928
I PICKED UP A FRAMED PRINCE,https://t.me/moon_read/580
I PICKED UP A SECOND LEAD AFTER ENDING,https://t.me/moon_read/267
I RAISED A BLACK DRAGON,https://t.me/moon_read/532
I RAN AWAY AND THE REVERSE HAREM STARTED,https://t.me/moon_read/1262
I REGRESSED BUT MY HUSBAND WAS POSSESSED BY SOMEONE ELSE,https://t.me/moon_read/988
I RETURNED AS THE OBSESSIVE DUKE'S WIFE ONCE AGAIN,https://t.me/moon_read/786
I SHOULD HAVE JUST DIED,https://t.me/moon_read/479
I START WITH A BAD HAND,https://t.me/moon_read/927
I STOLE THE EMPEROR FIRST NIGHT,https://t.me/moon_read/638
I STOLE THE HEROINE'S HOLY GRAIL,https://t.me/moon_read/494
I THOUGHT IT WAS AN ARRANGED MARRIAGE,https://t.me/moon_read/523
I THOUGHT MY TIME WAS UP!,https://t.me/moon_read/702
I THOUGHT YOU WERE A SWEET KIND HEARTED PERSON,https://t.me/moon_read/520
I THOUGHT YOU WERE A TIME LIMITED HUSBAND,https://t.me/moon_read/984
I TOLD YOU I WON'T LOVE YOU ANYMORE,https://t.me/moon_read/976
I TRIED TO SAVE FAVORITE BUT ENDED UP BECOMING THE HEROINE,https://t.me/moon_read/1263
I USE MY CHILDHOOD FRIEND TO LOSE MY VIRGINITY 🔞,https://t.me/moon_read/640
I WANNA LIVE AN EASY LIFE,https://t.me/moon_read/969
I WANNA SLEEP WITH YOU,https://t.me/moon_read/958
"I WANT A DIVORCE, PLEASE STOP OBSESSING OVER ME!",https://t.me/moon_read/1045
I WANT TO EAT YOUR PANCREAS,https://t.me/moon_read/420
I WAS CAPTURED WHILE TRYING TO TAME A TYRANT,https://t.me/moon_read/1032
I WAS MISTAKEN AS A MONSTROUS GENIUS ACTOR,https://t.me/moon_read/417
I WAS ONLY TRYING TO AVOID DEFAMATION,https://t.me/moon_read/1226
I WAS REINCARNATED AS THE EMPEROR'S SLEEPING PILL,https://t.me/moon_read/861
I WAS TRYING TO AVOID THE VILLAIN BUT ENDED UP GETTING MARRIED,https://t.me/moon_read/912
I WILL DISAPPEAR GRAND DUKE,https://t.me/moon_read/435
I WILL FORGET THIS FEELING SOMEDAY,https://t.me/moon_read/454
I WILL NOT RETURN TO MY FAMILY,https://t.me/moon_read/583
I WILL RAISE THIS BABY AS ANOTHER MAN'S CHILD,https://t.me/moon_read/1252
I'LL BECOME THE QUEEN OF THE ENEMY'S COUNTRY,https://t.me/moon_read/739
I'LL MAKE IT A BAD ENDING LIKE A VILLAIN,https://t.me/moon_read/894
I'LL MESS UP THIS REGRET NOVEL AND ROMANCE FANTASIES,https://t.me/moon_read/968
I'LL QUIT AS THE EMPRESS,https://t.me/moon_read/1154
I'M A DOLL BUT THE TYRANT IS OBSESSED WITH ME,https://t.me/moon_read/526
I'M NOT DOING THIS WITH A FRIEND,https://t.me/moon_read/1146
I'M NOT INTERESTED IN THE MC,https://t.me/moon_read/784
I'M NOT THE FINAL BOSS' LOVER,https://t.me/moon_read/619
I'M PREGNANT WITH MY FRIEND'S CHILD 🔞🔞🔞,https://t.me/moon_read/732
I'M READY FOR DIVORCE,https://t.me/moon_read/67
I'M STUCK ON THE ISLAND WITH THE MALE LEADS,https://t.me/moon_read/794
I'M THE DYING EMPEROR'S DOCTOR,https://t.me/moon_read/695
IF I WAS GOING TO REGRET IT ANYWAY,https://t.me/moon_read/363
IF ONLY I COULD DISAPPEAR,https://t.me/moon_read/593
IF YOU DESIRE TO KEEP ME,https://t.me/moon_read/838
IF YOU SPEND THE NIGHT WITH THE ALPHA PRINCE 🔞🔞🔞,https://t.me/moon_read/1015
IF YOU STEAL THE DUKE'S TREASURE AND RUN AWAY,https://t.me/moon_read/1157
"IF YOU'RE GOING TO SELL YOURSELF, SELL IT TO ME 🔞🔞🔞",https://t.me/moon_read/1002
IMPURE INTENT,https://t.me/moon_read/1285
IMPURE TASTES,https://t.me/moon_read/829
IMPURE TENDERNESS,https://t.me/moon_read/229
IMPURE THOUGHTS OF THE INNOCENT,https://t.me/moon_read/852
"IN ORDER TO MEET YOU, BELOVED",https://t.me/moon_read/799
"IN THE DEPTHS OF SHAME, LOVE EXIST",https://t.me/moon_read/1014
IN THE MIDDLE OF THE NIGHT IN THE DUKE'S MANSION,https://t.me/moon_read/772
IN THE SHADOW OF THE SPRING 🔞🔞🔞,https://t.me/moon_read/380
"IN THIS LIFE, I WILL BE YOUR DOG",https://t.me/moon_read/1064
INGRID THE WHITE DEER,https://t.me/moon_read/821
INTO THE LIGHT ONCE AGAIN,https://t.me/moon_read/342
INVITATION OF THE CRESENT MOON,https://t.me/moon_read/970
IRAINE'S CIRCUMTANCES,https://t.me/moon_read/1278
IS MY DAD NOT A VILLAIN?,https://t.me/moon_read/926
IS MY FRIEND'S OLDER BROTHER OKAY?,https://t.me/moon_read/994
IS THE PRINCE OF CURIOSITY AN EXCEPTIONAL MAN?,https://t.me/moon_read/919
